"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol","chr","start","end","strand","biotype","description"
"800","ENSG00000152332",3008.20914259827,0.671892335907401,0.0875175570134118,7.67722910506329,1.62566539384094e-14,2.03476879253893e-12,127933,"UHMK1","1",162497251,162529629,1,"protein_coding","U2AF homology motif (UHM) kinase 1 [Source:HGNC Symbol;Acc:HGNC:19683]"
"1162","ENSG00000178425",521.393856850533,-0.735784830070749,0.152988519120556,-4.80941206765291,1.51374867041898e-06,4.03621894603792e-05,221294,"NT5DC1","6",116100849,116249497,1,"protein_coding","5'-nucleotidase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21556]"
"413","ENSG00000116455",502.552674839896,0.5047577529417,0.122354218196178,4.12538088496787,3.70121705739608e-05,0.000672928359354906,79084,"WDR77","1",111439890,111449376,-1,"protein_coding","WD repeat domain 77 [Source:HGNC Symbol;Acc:HGNC:29652]"
"1264","ENSG00000188706",1600.23070699398,0.756475853555959,0.136062332344939,5.55977426315299,2.70123800375989e-08,1.13956126927419e-06,51114,"ZDHHC9","X",129803288,129843909,-1,"protein_coding","zinc finger, DHHC-type containing 9 [Source:HGNC Symbol;Acc:HGNC:18475]"
"443","ENSG00000119714",61.5481477647446,-3.10214913447745,0.506002056155421,-6.13070460236355,8.74907201836154e-10,4.96272268607062e-08,8111,"GPR68","14",91232532,91253925,-1,"protein_coding","G protein-coupled receptor 68 [Source:HGNC Symbol;Acc:HGNC:4519]"
"760","ENSG00000148110",1518.05291731711,0.422893192792764,0.113090192460448,3.73943295693537,0.000184435828526865,0.00264015181761756,84641,"HIATL1","9",94374551,94461042,1,"protein_coding","hippocampus abundant transcript-like 1 [Source:HGNC Symbol;Acc:HGNC:23376]"
"1160","ENSG00000178015",23.2233617126123,2.68455710632373,0.591999645598608,4.53472755648224,5.76778876356539e-06,0.000132353273976057,285601,"GPR150","5",95620078,95622142,1,"protein_coding","G protein-coupled receptor 150 [Source:HGNC Symbol;Acc:HGNC:23628]"
"343","ENSG00000109881",67.5847492169301,-1.13297437425502,0.254545253649007,-4.4509742688712,8.54815849789576e-06,0.00018871991319334,91057,"CCDC34","11",27330827,27363868,-1,"protein_coding","coiled-coil domain containing 34 [Source:HGNC Symbol;Acc:HGNC:25079]"
"587","ENSG00000134684",1262.50877637652,-0.723927336357262,0.132513255418588,-5.46305600953274,4.6800685519026e-08,1.83151519944612e-06,8565,"YARS","1",32775237,32818153,-1,"protein_coding","tyrosyl-tRNA synthetase [Source:HGNC Symbol;Acc:HGNC:12840]"
"234","ENSG00000101342",53.7031368272962,4.13426848072661,0.517099170790078,7.99511721206175,1.29450655488074e-15,1.84955677110082e-13,140711,"TLDC2","20",36876121,36894235,1,"protein_coding","TBC/LysM-associated domain containing 2 [Source:HGNC Symbol;Acc:HGNC:16112]"
